# How are active users trending?,,,
# Start date: 20230215,,,
# End date: 20260215,,,
Nth day,30 days,7 days,1 day
303,26609,7669,1581
304,25374,8079,1240
305,24644,8357,1258
306,25096,8417,1662
307,24878,8303,1589
308,24282,8151,1542
309,23945,7970,1176
310,23695,7535,958
311,23853,7291,882
312,23922,6872,708
313,24106,6156,685
314,24064,5460,694
315,23093,4697,592
316,22268,4201,580
317,21302,3817,461
318,20506,3434,403
319,20172,3113,291
320,20130,2892,393
321,20093,2791,572
322,19659,2747,526
323,19242,2751,582
324,18785,2731,460
325,18243,2679,350
326,17975,2769,404
327,18000,2945,604
328,17994,3031,693
329,17489,3114,674
330,16895,3210,739
331,16395,3351,661
332,15857,3431,447
333,15156,3543,515
334,14852,3660,722
335,14702,3903,971
336,14246,4176,1029
337,13884,4491,1150
338,13594,4913,1235
339,13457,5232,917
340,13698,5871,1385
341,15453,8030,3582
342,18629,11657,5934
343,20855,14079,5514
344,21750,14925,3204
345,22085,15017,1706
346,22114,14892,810
347,22290,14795,1367
348,23019,14167,2537
349,23770,12137,2260
350,24259,9921,1942
351,24529,8649,1279
352,24554,8109,706
353,24480,7899,360
354,24462,7413,503
355,24672,6362,975
356,24825,5503,985
357,24986,4750,915
358,25027,4402,813
359,24944,4238,465
360,24683,4164,288
361,24589,4091,397
362,24731,4040,852
363,24915,4043,985
364,24919,3958,828
365,24910,4039,926
366,24906,4240,704
367,24722,4450,515
368,24609,4767,793
369,24921,5115,1268
370,24977,5304,1186
371,24046,5599,1227
372,22025,5699,1059
373,19857,5644,670
374,18525,5620,478
375,18145,5524,689
376,18368,5379,1104
377,18243,5266,1063
378,17601,5186,1118
379,16770,4983,825
380,16005,4850,512
381,15541,4732,336
382,15383,4559,472
383,15603,4409,899
384,15821,4355,990
385,15880,4335,1156
386,15757,4347,870
387,15554,4343,498
388,15298,4291,308
389,15268,4272,436
390,15559,4295,923
391,15852,4296,982
392,16502,5037,2053
393,16847,5630,1810
394,16981,5963,1074
395,16726,6023,470
396,16663,6267,779
397,17191,6830,1784
398,17587,7274,1818
399,17597,6924,1418
400,17317,6384,1015
401,17000,6088,514
402,16528,5960,309
403,16337,5657,295
404,16204,4694,370
405,16034,3647,390
